,Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment_Category
77,78,Dave & Buster's,571,6.5%,132,10.9%,Sports Bar
78,79,Dutch Bros. Coffee,567,15.0%,369,13.2%,Quick Service & Coffee Cafe
79,80,Captain D's Seafood Kitchen,561,3.1%,540,2.1%,Quick Service & Seafood
80,81,Auntie Anne's,559,0.2%,1288,-0.5%,Quick Service & Snack
81,82,First Watch,558,35.1%,368,24.7%,Family Dining & Family Style
82,83,Perkins Restaurant & Bakery,541,-9.5%,309,-13.0%,Family Dining & Family Style
83,84,Freddy's Frozen Custard & Steakburgers,535,12.9%,368,12.2%,Fast Casual & Burger
84,85,Checkers Drive-In Restaurants,535,-1.8%,584,-0.2%,Quick Service & Burger
85,86,Noodles & Company,533,0.9%,457,-0.4%,Fast Casual & Asian/Noodle
86,87,Einstein Bros. Bagels,517,-2.1%,710,-2.6%,Quick Service & Bakery Cafe
87,88,Jamba,514,0.8%,767,-1.8%,Quick Service & Beverage
88,89,Portillo's,505,12.2%,62,8.8%,Fast Casual & Sandwich
89,90,Boston Market,501,-9.9%,390,-14.1%,Fast Casual & Chicken
90,91,The Habit Burger Grill,500,14.5%,273,10.5%,Fast Casual & Burger
91,92,Logan's Roadhouse,496,-3.7%,204,-1.0%,Casual Dining & Steak
92,93,MOD Pizza,483,23.8%,467,18.2%,Fast Casual & Pizza
93,94,Smoothie King,462,11.2%,972,8.0%,Quick Service & Beverage
94,95,Mellow Mushroom,461,-0.3%,187,-1.1%,Casual Dining & Italian/Pizza
95,96,The Capital Grille,461,4.7%,58,0.0%,Fine Dining & Steak
96,97,Round Table Pizza,450,1.3%,435,0.7%,Quick Service & Pizza
97,98,Miller's Ale House,446,10.2%,98,11.4%,Casual Dining & Sports Bar
98,99,Potbelly sandwich Shop,446,-2.5%,471,-1.5%,Quick Service & Sandwich
99,100,Hungry Howie's Pizza,439,7.0%,537,-2.4%,Quick Service & Pizza
100,101,Charleys Philly Steaks,435,4.9%,540,2.3%,Quick Service & Sandwich
101,102,Chuy's,426,7.1%,100,0.0%,Mexican
102,103,O'Charley's,426,-7.6%,196,-5.3%,Varied Menu
103,104,Pollo Tropical,425,-2.1%,174,3.0%,Chicken
104,105,Maggiano's Little Italy,417,1.1%,53,1.9%,Italian/Pizza
105,106,Cicis,410,-1.4%,420,0.7%,Pizza
106,107,Long John Silver's,404,-8.2%,850,-2.4%,Seafood
107,108,Saltgrass Steak House,402,14.9%,88,10.0%,Steak
108,109,Chuck E. Cheese's,381,-0.5%,537,1.3%,Pizza
109,110,Taco John's,373,0.5%,387,-1.3%,Mexican
110,111,Texas de Brazil Churrascaria,370,10.5%,58,9.4%,Steak
111,112,Cold Stone Creamery,369,-2.3%,895,-0.9%,Frozen Desserts
